Country,Country_Code,Year,Value,UNIT_MEASURE,OBS_STATUS,Indicator,Indicator_Code,processed_at,indicator_clean,connection_type
Africa Eastern and Southern,AFE,2024,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2023,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2022,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2021,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2020,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2019,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2018,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2017,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2016,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2015,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2014,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2013,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2012,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2011,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2010,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2009,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2008,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2007,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2006,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2005,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2004,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
